code,title,weight,source
EDEX 4.11,Describe the main stages of genetic engineering including the use of: a restriction enzyme,3.12,4.11
EDEX 4.12B,Explain the advantages and disadvantages of genetic engineering to produce GM organisms in,2.12,4.12B
EDEX 4.13B,Explain the advantages and disadvantages of agricultural solutions to the demands of a gro,2.55,4.13B
EDEX 4.14,Evaluate the benefits and risks of genetic engineering and selective breeding in modern ag,3.6,4.14
EDEX 5.1,"Describe health as a state of complete physical, mental and social well-being and not mere",1.98,5.1
EDEX 5.2,Describe the difference between communicable and non-communicable diseases,1.3,5.2
EDEX 5.3,Explain why the presence of one disease can lead to a higher susceptibility to other disea,2.45,5.3
EDEX 5.4,"Describe a pathogen as a disease-causing organism, including viruses, bacteria, fungi and ",1.75,5.4
EDEX 5.5,"Describe some common infections, including: a cholera (bacteria) causes diarrhoea b tuberc",4.6,5.5
EDEX 5.6,"Explain how pathogens are spread and how this spread can be reduced or prevented, includin",4.35,5.6
EDEX 5.7B,"Describe the lifecycle of a virus, including lysogenic and lytic pathways",1.75,5.7B
EDEX 5.8,Explain how sexually transmitted infections (STIs) are spread and how this spread can be r,2.7,5.8
EDEX 5.9B,Describe how some plants defend themselves against attack from pests and pathogens by phys,1.35,5.9B
EDEX 5.10B,Describe how plants defend themselves against attack from pests and pathogens by producing,1.62,5.10B
EDEX 5.11B,"Describe different ways plant diseases can be detected and identified, in the lab and in t",2.12,5.11B
EDEX 5.12,Describe how the physical barriers and chemical defences of the human body provide protect,2.83,5.12
EDEX 5.13,Explain the role of the specific immune system of the human body in defence against diseas,4.4,5.13
EDEX 5.14,"Explain the body’s response to immunisation using an inactive form of a pathogen 2c, 2g 4a",2.45,5.14
EDEX 5.15B,"Discuss the advantages and disadvantages of immunisation, including the concept of herd im",2.2,5.15B
EDEX 5.16,Explain that antibiotics can only be used to treat bacterial infections because they inhib,2.1,5.16
EDEX 5.17B,"Explain the aseptic techniques used in culturing microorganisms in the laboratory, includi",2.33,5.17B
EDEX 5.18B,"Core Practical: Investigate the effects of antiseptics, antibiotics or plant extracts on m",2.8,5.18B
EDEX 5.19B,Calculate cross-sectional areas of bacterial cultures and clear agar jelly using πr2 1a 2c,2.1,5.19B
EDEX 5.20,"Describe that the process of developing new medicines, including antibiotics, has many sta",1.45,5.20
EDEX 5.21B,"Describe the production of monoclonal antibodies, including: a use of lymphocytes which pr",2.95,5.21B
